Severity,Temperature_F,Wind_Speed_mph,Visibility_mi,Precipitation_in,Humidity_pct,Pressure_in,Speed_Limit,Weather_Condition,Road_Type,Hour,Day_of_Week,Month,State,Junction,Traffic_Signal,Crossing,Stop,Amenity
1,47.4,19.0,6.5,0.0,65.2,29.72,35,Cloudy,City Street,10,Friday,4,CA,0,0,1,0,0
4,102.8,7.6,9.2,0.0,39.4,29.81,55,Clear,Highway,22,Tuesday,3,NC,0,0,0,0,0
3,93.3,1.3,4.6,0.0,44.2,30.19,65,Clear,State Road,17,Tuesday,5,NY,0,1,0,0,0
3,74.6,5.3,6.6,0.32,25.0,29.58,65,Rain,City Street,15,Wednesday,8,FL,1,0,0,0,0
2,53.1,11.6,10.0,0.0,70.8,30.22,45,Cloudy,State Road,7,Friday,9,TX,0,0,0,1,0
2,84.0,8.2,10.0,0.0,35.0,29.92,35,Snow,City Street,7,Sunday,9,FL,1,0,0,0,0
4,37.3,17.3,0.9,0.0,82.1,30.13,70,Clear,Interstate,4,Wednesday,6,CA,0,0,1,0,0
2,81.5,11.1,4.0,0.01,75.8,29.46,35,Rain,Highway,19,Saturday,8,OH,0,0,0,1,0
4,78.6,0.5,10.0,0.59,58.0,29.78,65,Heavy Rain,City Street,15,Sunday,6,NC,0,0,1,1,1
1,57.0,1.0,10.0,0.17,84.7,29.96,25,Heavy Rain,Highway,17,Monday,10,OH,0,1,0,0,0
4,82.8,8.4,6.3,0.0,78.5,29.94,45,Fog,State Road,1,Friday,5,TX,0,1,0,0,0
3,51.1,2.2,3.5,0.88,63.1,29.88,75,Rain,Highway,22,Wednesday,3,IL,1,0,0,0,0
4,34.7,7.1,4.3,0.0,44.6,30.95,55,Fog,Highway,19,Thursday,9,NY,0,1,0,0,0
1,79.6,12.6,9.5,0.0,68.3,30.19,45,Clear,State Road,7,Thursday,7,GA,0,0,0,0,0
1,58.3,6.9,10.0,0.0,68.2,30.26,65,Cloudy,State Road,7,Saturday,10,MI,0,0,0,0,0
1,72.0,4.3,10.0,0.0,69.8,30.02,45,Clear,Rural Road,7,Tuesday,9,GA,0,0,0,0,0
4,96.4,8.3,3.3,0.0,61.6,30.17,70,Clear,City Street,9,Friday,12,CA,0,1,0,0,0
1,45.6,1.2,7.1,0.0,66.5,30.0,35,Clear,Interstate,13,Tuesday,11,CA,1,1,1,0,1
1,57.1,10.3,5.4,0.0,66.0,30.81,45,Clear,City Street,12,Saturday,4,NC,1,1,0,0,0
3,91.4,9.6,8.4,0.0,87.2,29.87,65,Clear,Highway,9,Saturday,7,IL,0,1,1,0,1
3,73.4,5.8,4.0,0.0,34.5,30.32,65,Clear,State Road,15,Tuesday,6,IL,1,0,1,0,1
1,46.0,2.6,6.4,0.0,40.0,30.94,55,Clear,State Road,6,Wednesday,2,TX,0,0,0,0,1
4,40.9,12.8,5.4,0.0,61.5,30.23,45,Fog,State Road,9,Thursday,6,PA,1,1,0,0,0
2,49.4,5.7,9.6,0.0,44.8,29.76,55,Clear,City Street,10,Monday,8,PA,0,0,0,0,0
1,45.2,0.5,6.5,0.8,64.2,29.53,35,Rain,City Street,12,Thursday,2,NC,0,1,0,0,1
1,64.7,20.1,6.9,0.0,37.7,29.65,25,Clear,State Road,18,Thursday,3,MI,0,0,0,0,0
4,61.6,11.7,9.5,0.0,40.9,30.1,70,Fog,Highway,7,Sunday,1,GA,0,0,0,1,0
2,65.6,7.0,10.0,0.0,100.0,30.79,55,Fog,Highway,13,Wednesday,12,OH,1,1,0,0,0
1,43.2,4.6,10.0,1.15,55.4,30.2,55,Rain,Highway,15,Tuesday,8,IL,1,0,0,1,1
3,58.6,25.7,9.4,0.22,36.6,29.71,65,Rain,Highway,3,Thursday,1,PA,1,0,0,1,1
1,18.9,11.9,7.7,0.0,57.7,29.75,55,Clear,City Street,15,Saturday,4,PA,0,0,1,0,0
2,62.9,6.1,10.0,0.0,80.7,29.83,55,Windy,Highway,7,Thursday,9,FL,0,0,0,0,1
4,83.5,8.5,10.0,0.0,84.1,29.23,65,Fog,City Street,4,Saturday,8,NY,0,1,1,1,1
4,31.5,2.6,10.0,0.0,30.8,29.67,55,Fog,State Road,21,Tuesday,11,MI,0,1,0,1,0
2,69.7,1.7,3.3,0.56,44.7,29.65,70,Rain,Highway,22,Saturday,3,OH,1,1,1,0,0
1,47.8,2.6,10.0,0.0,64.5,31.29,45,Clear,Rural Road,18,Thursday,3,CA,0,0,0,1,0
1,76.1,2.8,9.1,0.0,59.3,30.36,25,Fog,City Street,9,Tuesday,7,OH,0,0,0,0,0
3,63.2,10.8,5.3,0.0,28.0,29.36,35,Clear,Highway,5,Monday,12,GA,0,0,0,0,0
2,68.1,1.2,6.0,0.0,31.2,29.12,65,Cloudy,Rural Road,16,Monday,3,GA,1,0,0,0,0
1,61.3,12.0,9.7,0.0,38.6,29.25,70,Clear,Highway,12,Friday,10,GA,0,1,0,0,0
