Severity,Temperature_C,Wind_Speed_kmh,Visibility_km,Precipitation_mm,Humidity_pct,Pressure_hPa,Speed_Limit,Weather_Condition,Road_Type,Hour,Day_of_Week,Month,State,Junction,Traffic_Signal,Crossing,Stop,Amenity,Country
2,24.8,28.5,8.5,0.0,68.9,1008.24,40,Clear,City Street,10,Friday,4,"Bengaluru, Karnataka",0,0,1,0,0,India
3,38.7,11.5,11.2,0.0,49.6,1009.09,60,Clear,National Highway,22,Tuesday,3,"Hubballi, Karnataka",0,0,0,0,0,India
3,36.3,2.0,6.6,0.0,53.2,1012.92,80,Clear,State Highway,17,Tuesday,5,"Hubballi, Karnataka",0,1,0,0,0,India
2,31.7,8.0,8.6,0.0,38.8,1006.78,60,Cloudy,City Street,15,Wednesday,8,"Mysuru, Karnataka",1,0,0,0,0,India
1,26.3,17.4,13.6,0.0,73.1,1013.16,50,Cloudy,State Highway,7,Friday,9,"Mangaluru, Karnataka",0,0,0,1,0,India
2,34.0,12.4,12.0,7.92,46.2,1010.24,40,Heavy Rain,City Street,7,Sunday,9,"Mysuru, Karnataka",1,0,0,0,0,India
4,22.3,26.0,2.9,0.0,81.6,1012.26,80,Clear,Ring Road,4,Wednesday,6,"Bengaluru, Karnataka",0,0,1,0,0,India
2,33.4,16.6,6.0,0.0,76.9,1005.59,40,Cloudy,National Highway,19,Saturday,8,"Belagavi, Karnataka",0,0,0,1,1,India
1,32.6,0.8,15.0,19.64,63.5,1008.79,60,Rain,City Street,15,Sunday,6,"Mangaluru, Karnataka",0,0,1,1,1,India
1,27.2,1.4,13.5,5.52,83.5,1010.55,30,Rain,National Highway,17,Monday,10,"Hubballi, Karnataka",0,1,0,0,0,India
4,33.7,12.6,8.3,3.22,78.9,1010.41,50,Heavy Rain,State Highway,1,Friday,5,"Mysuru, Karnataka",0,1,0,0,0,India
4,25.8,3.3,5.5,29.43,67.4,1009.8,120,Rain,National Highway,22,Wednesday,3,"Hubballi, Karnataka",1,0,0,0,0,India
4,21.7,10.6,6.3,0.0,53.5,1020.46,60,Fog,National Highway,19,Thursday,9,"Bengaluru, Karnataka",1,1,0,0,0,India
2,32.9,18.9,11.5,0.0,71.2,1012.87,50,Clear,State Highway,7,Thursday,7,"Belagavi, Karnataka",0,0,1,0,1,India
1,27.6,10.3,15.0,0.0,71.1,1013.64,60,Cloudy,State Highway,7,Saturday,10,"Bengaluru, Karnataka",0,0,0,0,0,India
1,31.0,6.4,15.0,0.0,72.4,1011.23,50,Clear,Rural Road,7,Tuesday,9,"Bengaluru, Karnataka",0,0,0,0,0,India
4,37.1,12.5,5.3,0.0,66.2,1012.67,100,Clear,City Street,9,Friday,12,"Mysuru, Karnataka",0,1,0,0,1,India
1,24.4,1.9,9.1,0.0,69.9,1010.99,40,Clear,Ring Road,13,Tuesday,11,"Mysuru, Karnataka",1,1,1,0,1,India
2,27.3,15.4,7.4,0.0,69.5,1019.09,50,Clear,City Street,12,Saturday,4,"Mangaluru, Karnataka",1,1,0,0,1,India
3,35.8,14.3,10.4,0.0,85.4,1009.7,60,Clear,National Highway,9,Saturday,7,"Belagavi, Karnataka",0,1,1,0,1,India
2,31.3,8.7,6.0,0.0,45.9,1014.16,60,Clear,State Highway,15,Tuesday,6,"Belagavi, Karnataka",1,0,1,0,1,India
1,24.5,3.9,8.4,0.0,50.0,1020.43,50,Clear,State Highway,6,Wednesday,2,"Belagavi, Karnataka",0,0,0,0,1,India
3,23.2,19.2,7.4,0.0,66.1,1013.27,40,Fog,State Highway,9,Thursday,6,"Belagavi, Karnataka",1,1,0,0,0,India
1,25.4,8.6,11.6,0.0,53.6,1008.58,50,Clear,City Street,10,Monday,8,"Belagavi, Karnataka",0,0,0,0,0,India
1,24.3,0.7,8.5,26.63,68.2,1006.33,40,Rain,City Street,12,Thursday,2,"Hubballi, Karnataka",0,1,0,0,1,India
2,29.2,30.1,8.9,0.0,48.3,1007.52,30,Clear,State Highway,18,Thursday,3,"Bengaluru, Karnataka",0,0,0,0,0,India
4,28.4,17.5,11.5,0.0,50.7,1011.96,100,Fog,National Highway,7,Sunday,1,"Mysuru, Karnataka",1,0,0,1,0,India
3,29.4,10.5,14.9,2.21,95.9,1018.92,50,Heavy Rain,National Highway,13,Wednesday,12,"Belagavi, Karnataka",1,1,0,0,0,India
2,23.8,6.9,15.0,0.0,61.6,1013.02,50,Cloudy,National Highway,15,Tuesday,8,"Belagavi, Karnataka",1,0,0,1,1,India
3,27.6,38.6,11.4,0.0,47.4,1008.07,60,Cloudy,National Highway,3,Thursday,1,"Mysuru, Karnataka",1,0,0,1,1,India
3,17.7,17.9,9.7,0.0,63.3,1008.48,50,Clear,City Street,15,Saturday,4,"Mangaluru, Karnataka",0,0,1,0,0,India
2,28.7,9.2,13.9,18.63,80.5,1009.25,50,Thunderstorm,National Highway,7,Thursday,9,"Hubballi, Karnataka",0,1,0,0,1,India
4,33.9,12.7,13.5,5.45,83.1,1003.3,60,Heavy Rain,City Street,4,Saturday,8,"Bengaluru, Karnataka",0,1,1,1,1,India
3,20.9,4.0,12.6,10.11,43.1,1007.71,50,Heavy Rain,State Highway,21,Tuesday,11,"Mangaluru, Karnataka",0,1,0,1,0,India
3,30.4,2.6,5.3,0.0,53.5,1007.49,100,Cloudy,National Highway,22,Saturday,3,"Bengaluru, Karnataka",1,1,1,0,0,India
2,24.9,3.8,13.6,0.0,68.3,1023.89,50,Clear,City Street,18,Thursday,3,"Hubballi, Karnataka",0,1,0,1,0,India
2,32.0,4.2,11.1,8.63,64.5,1014.63,30,Heavy Rain,City Street,9,Tuesday,7,"Hubballi, Karnataka",0,0,0,0,1,India
3,28.8,16.2,7.3,0.0,41.0,1004.63,40,Clear,National Highway,5,Monday,12,"Mangaluru, Karnataka",0,0,0,0,0,India
3,30.0,1.8,8.0,0.0,43.4,1002.15,80,Cloudy,Rural Road,16,Monday,3,"Hubballi, Karnataka",1,0,0,0,0,India
3,28.3,18.0,11.7,0.0,49.0,1003.47,100,Clear,National Highway,12,Friday,10,"Mysuru, Karnataka",0,1,0,0,0,India
4,34.6,8.9,2.5,0.0,38.4,1017.07,30,Fog,National Highway,6,Sunday,9,"Hubballi, Karnataka",1,1,0,1,1,India
3,29.7,5.8,9.6,0.0,58.1,1003.25,100,Clear,City Street,13,Friday,10,"Belagavi, Karnataka",0,0,1,0,1,India
4,24.5,4.3,8.0,0.0,82.9,1018.05,100,Clear,City Street,2,Friday,7,"Bengaluru, Karnataka",1,0,0,0,0,India
1,28.5,8.6,7.7,0.0,55.0,1011.2,60,Cloudy,State Highway,20,Tuesday,8,"Hubballi, Karnataka",1,0,0,1,1,India
3,26.2,4.6,8.6,15.34,81.2,1008.77,60,Rain,National Highway,8,Wednesday,6,"Mangaluru, Karnataka",0,0,1,0,0,India
1,28.8,6.7,5.6,0.0,65.4,1004.28,30,Cloudy,Rural Road,16,Saturday,10,"Mysuru, Karnataka",1,0,0,0,1,India
1,25.9,16.1,13.2,0.0,62.2,1016.32,40,Clear,State Highway,9,Thursday,3,"Mysuru, Karnataka",0,0,1,1,1,India
2,24.6,11.8,3.6,0.0,40.0,1012.73,40,Clear,National Highway,13,Monday,2,"Hubballi, Karnataka",0,1,0,0,0,India
2,29.0,16.5,10.5,3.9,82.5,1014.5,50,Rain,City Street,14,Tuesday,2,"Mangaluru, Karnataka",0,0,0,0,0,India
4,28.3,15.0,7.5,3.01,66.7,1008.64,60,Thunderstorm,Ring Road,7,Saturday,9,"Hubballi, Karnataka",1,0,0,0,0,India
3,33.3,20.3,15.0,12.66,41.0,1013.33,100,Rain,National Highway,22,Saturday,12,"Belagavi, Karnataka",0,1,0,0,0,India
1,25.9,2.7,10.1,0.0,70.7,1017.41,50,Cloudy,City Street,18,Tuesday,6,"Mangaluru, Karnataka",0,1,0,0,0,India
4,18.1,50.0,3.6,0.0,56.2,1012.98,50,Fog,City Street,21,Tuesday,1,"Belagavi, Karnataka",0,0,0,0,1,India
1,26.2,7.7,11.6,0.0,65.9,1004.72,30,Cloudy,State Highway,20,Sunday,9,"Hubballi, Karnataka",0,1,1,0,0,India
4,19.9,15.2,6.7,0.0,68.6,1012.6,120,Cloudy,City Street,15,Wednesday,4,"Bengaluru, Karnataka",1,1,0,0,1,India
